,time_turkey_local,latitude,longitude,mag
213,2023-02-17 22:10:39,38.0705,38.1898,4.2
214,2023-02-12 01:29:16,36.6889,36.5403,4.2
215,2023-02-15 09:25:30,38.0958,36.7171,4.2
216,2023-02-06 05:21:17,37.0893,36.6997,4.2
217,2023-02-07 06:37:01,36.2739,36.2566,4.2
218,2023-02-07 05:39:04,38.6097,37.5098,4.2
219,2023-02-15 02:14:02,38.5556,37.4549,4.2
220,2023-02-12 02:30:57,37.9909,36.4045,4.1
221,2023-02-20 22:09:21,36.2966,36.1291,4.1
222,2023-02-21 12:56:46,38.2522,38.6518,4.1
223,2023-02-19 06:59:10,37.0377,36.8185,4.1
224,2023-02-12 12:32:23,36.0908,36.3111,4.1
225,2023-02-06 20:22:01,38.0974,36.478,4.1
226,2023-02-06 05:16:04,36.876,36.6494,4.1
227,2023-02-09 08:37:35,38.2127,38.1982,4.1
228,2023-02-07 04:29:19,38.0748,36.7378,4.1
229,2023-02-12 20:28:18,38.0781,36.611,4.1
230,2023-02-10 00:46:30,37.1667,36.8266,4.1
231,2023-02-16 19:38:32,37.9225,37.5073,4.1
232,2023-02-11 03:24:43,36.4575,36.6798,4.1
233,2023-02-13 18:15:06,37.9396,36.3113,4.1
234,2023-02-16 01:25:58,38.0555,36.6113,4.1
235,2023-02-19 03:56:11,38.0472,36.2387,4.1
236,2023-02-11 15:54:59,38.0797,36.5974,4.1
237,2023-02-15 03:06:02,36.6629,36.5602,4.1
238,2023-02-12 13:00:23,38.2548,38.5098,4.1
239,2023-02-08 03:11:56,38.1268,37.2542,4.0
240,2023-02-18 19:14:42,37.9156,38.1277,4.0
241,2023-02-18 08:26:05,38.0726,37.1608,4.0
242,2023-02-16 02:43:39,37.3475,36.8589,4.0
243,2023-02-09 01:36:50,38.2174,38.2049,4.0
244,2023-02-11 09:06:24,37.9638,38.207,4.0
245,2023-02-20 00:30:30,37.3597,36.8864,3.9
246,2023-02-19 17:26:21,34.6284,33.0052,3.6
247,2023-02-17 23:53:06,37.928,32.5878,2.6
