time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-05T14:36:37.320Z,19.3168334960938,-155.364837646484,13.4799995422363,2.62,ml,24,210,,0.330000013,hv,hv73319752,2023-02-05T14:42:09.080Z,"17 km NE of Pāhala, Hawaii",earthquake,1.71,0.569999993,0.24,8,automatic,hv,hv
2023-02-05T14:36:27.460Z,19.058666229248,-155.404495239258,34.9199981689453,2.98,ml,44,236,,0.119999997,hv,hv73319747,2023-02-05T17:38:03.863Z,"17 km SSE of Pāhala, Hawaii",earthquake,0.54,0.910000026,3.03,25,automatic,hv,hv
2023-02-05T12:58:22.835Z,48.9436,157.3246,48.287,4.5,mb,45,136,4.17,0.33,us,us6000jljv,2023-02-05T13:17:08.040Z,"211 km SSE of Severo-Kuril’sk, Russia",earthquake,9.95,7.22,0.091,36,reviewed,us,us
2023-02-05T12:06:31.705Z,-22.2335,-179.5812,569.43,4.5,mb,39,92,4.207,0.99,us,us6000jljt,2023-02-05T12:26:11.040Z,"south of the Fiji Islands",earthquake,13.85,8.196,0.088,38,reviewed,us,us
2023-02-05T12:02:59.166Z,59.7758,-153.971,180.6,2.7,ml,,,,0.55,ak,ak0231nqi918,2023-02-05T12:06:24.821Z,"7 km E of Pedro Bay, Alaska",earthquake,,2,,,automatic,ak,ak
2023-02-05T11:44:33.470Z,17.9413333333333,-66.9763333333333,10.69,2.65,md,20,197,0.07041,0.11,pr,pr71395428,2023-02-05T12:07:00.570Z,"7 km WSW of Guánica, Puerto Rico",earthquake,0.29,0.25,0.151857824194833,9,reviewed,pr,pr
2023-02-05T10:51:08.266Z,-6.7569,129.6499,165.058,4.4,mb,22,89,2.039,0.32,us,us6000jlji,2023-02-05T11:14:35.040Z,"Banda Sea",earthquake,11.02,10.037,0.139,15,reviewed,us,us
2023-02-05T10:31:32.297Z,-24.2996,-67.2368,179.294,4.7,mb,46,43,1.596,0.7,us,us6000jljf,2023-02-05T10:55:00.040Z,"93 km W of San Antonio de los Cobres, Argentina",earthquake,3.46,7.08,0.112,24,reviewed,us,us
2023-02-05T09:59:20.797Z,7.7321,126.0821,13.569,4.7,mb,55,87,0.826,0.51,us,us6000jlje,2023-02-05T10:50:38.391Z,"Mindanao, Philippines",earthquake,7.2,4.5,0.07,61,reviewed,us,us
2023-02-05T09:06:30.636Z,16.8186,-99.6767,25.046,4.5,mb,46,129,1.294,0.38,us,us6000jljd,2023-02-06T01:34:09.697Z,"0 km WNW of San Pedro Cacahuatepec, Mexico",earthquake,7.34,4.886,0.091,35,reviewed,us,us
2023-02-05T08:17:41.840Z,19.2315006256104,-155.390502929688,30.7199993133545,2.52,ml,46,145,,0.140000001,hv,hv73319587,2023-02-05T10:47:50.785Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.62,0.649999976,3.84,12,automatic,hv,hv
2023-02-05T07:55:56.574Z,55.4293,-157.6786,147.9,3,ml,,,,0.8,ak,ak0231nnufrd,2023-02-05T08:11:42.040Z,"106 km SSE of Chignik, Alaska",earthquake,,1.8,,,automatic,ak,ak
2023-02-05T07:08:46.590Z,-32.7405,-71.7352,30.921,4,mb,32,134,0.291,0.53,us,us6000jliv,2023-02-05T12:11:54.647Z,"34 km NNW of Valparaíso, Chile",earthquake,5.07,5.149,0.21,8,reviewed,us,us
2023-02-05T07:01:49.293Z,44.4237,-115.2359,10,2.5,ml,9,83,0.731,0.47,us,us6000jlit,2023-02-05T10:56:30.908Z,"32 km NW of Stanley, Idaho",earthquake,2.06,2.012,0.07,27,reviewed,us,us
